,Speed (mm/s),Pressure (psi),Material,Thivex,Time Period,Batches,Radius,Line Shape,Needle Size,Needle dia (um),AreaA1 (mm2),FlowQ1 (mm3/s),ShearS1 (1/s),ViscosN1 (PaS),Width (um)
2623,50,95,DS10,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2629,20,65,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,625.5202355
2635,30,65,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
2641,40,65,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2647,50,65,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2653,20,75,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,657.2215986
2659,30,75,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
2665,40,75,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2671,50,75,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2677,20,85,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,722.6588593
2683,30,85,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,477.0911836
2689,40,85,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2695,50,85,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2701,20,95,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,752.8270956
2707,30,95,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,569.1990424
2713,40,95,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2719,50,95,DS10,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2725,20,65,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,
2731,30,65,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
2737,40,65,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2743,50,65,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2749,20,75,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,
2755,30,75,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
2761,40,75,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2767,50,75,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2773,20,85,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,588.8473181
2779,30,85,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
2785,40,85,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2791,50,85,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2797,20,95,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,665.4469975
2803,30,95,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,443.8657515
2809,40,95,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2815,50,95,DS10,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2821,30,65,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
2827,40,65,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2833,50,65,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2839,20,75,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,654.1273295
2845,30,75,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,572.9327202
2851,40,75,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2857,50,75,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2863,20,85,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,743.9738
2869,30,85,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,518.1854825
2875,40,85,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2881,50,85,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2887,20,95,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,833.4818622
2893,30,95,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,609.5423276
2899,40,95,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2905,50,95,DS10,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2911,20,65,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,544.6460235
2917,30,65,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
2923,40,65,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2929,50,65,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2935,20,75,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,580.9637603
2941,30,75,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
2947,40,75,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2953,50,75,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2959,20,85,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,640.7472382
2965,30,85,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
2971,40,85,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
2977,50,85,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2983,20,95,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,721.7148475
2989,30,95,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,550.1888057
2995,40,95,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3001,50,95,DS10,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3007,20,65,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,
3013,30,65,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3019,40,65,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3025,50,65,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3031,20,75,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,
3037,30,75,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3043,40,75,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3049,50,75,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3055,20,85,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,520.5058125
3061,30,85,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3067,40,85,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3073,50,85,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3079,20,95,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,588.613505
3085,30,95,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3091,40,95,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3097,50,95,DS10,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3103,30,65,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,573.3562385
3109,40,65,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3115,50,65,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3121,20,75,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,785.9166471
3127,30,75,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,647.4919565
3133,40,75,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3139,50,75,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3145,20,85,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,876.8717286
3151,30,85,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,684.2952634
3157,40,85,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3163,50,85,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3169,20,95,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,916.2319772
3175,30,95,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,697.0694306
3181,40,95,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,561.8238576
3187,50,95,DS30,1%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3193,20,65,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,643.5254577
3199,30,65,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3205,40,65,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3211,50,65,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3217,20,75,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,707.8140883
3223,30,75,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,583.8922109
3229,40,75,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3235,50,75,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3241,20,85,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,669.0787891
3247,30,85,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,659.8607114
3253,40,85,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3259,50,85,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3265,20,95,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,789.041087
3271,30,95,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,673.8785314
3277,40,95,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3283,50,95,DS30,1%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3289,20,65,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,555.1670863
3295,30,65,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3301,40,65,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3307,50,65,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3313,20,75,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,559.7856378
3319,30,75,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3325,40,75,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3331,50,75,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3337,20,85,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,687.5403929
3343,30,85,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3349,40,85,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3355,50,85,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3361,20,95,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,770.4890468
3367,30,95,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3373,40,95,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3379,50,95,DS30,1%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3385,30,65,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,550.6065361
3391,40,65,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3397,50,65,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3403,20,75,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,686.2154135
3409,30,75,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,569.9740624
3415,40,75,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,495.8519447
3421,50,75,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3427,20,85,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,760.33402
3433,30,85,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,561.5630654
3439,40,85,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,527.7444337
3445,50,85,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3451,20,95,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,808.8758017
3457,30,95,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,606.6971028
3463,40,95,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,604.5821037
3469,50,95,DS30,2%,Phase1: First 30 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,472.7146061
3475,20,65,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,595.2819902
3481,30,65,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3487,40,65,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3493,50,65,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3499,20,75,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,650.7043946
3505,30,75,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,504.1588452
3511,40,75,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3517,50,75,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3523,20,85,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,673.3170382
3529,30,85,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,573.5724182
3535,40,85,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3541,50,85,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3547,20,95,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,727.3911734
3553,30,95,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,631.2044166
3559,40,95,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,518.1121767
3565,50,95,DS30,2%,Phase2: 30 mins to 60 min,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3571,20,65,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,516.3958881
3577,30,65,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3583,40,65,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3589,50,65,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3595,20,75,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,615.0990826
3601,30,75,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3607,40,75,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3613,50,75,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3619,20,85,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,604.3912257
3625,30,85,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3631,40,85,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3637,50,85,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
3643,20,95,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,4.1478772,311.2840467,0.127811278,658.9599154
3649,30,95,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,6.2218158,466.92607,0.111352032,
3655,40,95,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,8.2957544,622.5680934,0.100976189,
3661,50,95,DS30,2%,Phase3: After 60 mins,Batch 2,1,Curved,21,514,0.20739386,10.369693,778.2101167,0.093598647,
2,30,65,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
8,40,65,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
14,50,65,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
20,20,75,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
26,30,75,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
32,40,75,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
38,50,75,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
44,20,85,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
50,30,85,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
56,40,85,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
62,50,85,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
68,20,95,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
74,30,95,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
80,40,95,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
86,50,95,DS10,0%,Phase1: First 30 mins,Batch 3,2,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
92,20,65,DS10,0%,Phase2: 30 mins to 60 min,Batch 3,2,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
98,30,65,DS10,0%,Phase2: 30 mins to 60 min,Batch 3,2,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
104,40,65,DS10,0%,Phase2: 30 mins to 60 min,Batch 3,2,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
110,50,65,DS10,0%,Phase2: 30 mins to 60 min,Batch 3,2,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
116,20,75,DS10,0%,Phase2: 30 mins to 60 min,Batch 3,2,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
122,30,75,DS10,0%,Phase2: 30 mins to 60 min,Batch 3,2,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
128,40,75,DS10,0%,Phase2: 30 mins to 60 min,Batch 3,2,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
134,50,75,DS10,0%,Phase2: 30 mins to 60 min,Batch 3,2,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
140,20,85,DS10,0%,Phase2: 30 mins to 60 min,Batch 3,2,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
146,30,85,DS10,0%,Phase2: 30 mins to 60 min,Batch 3,2,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
