,Speed (mm/s),Pressure (psi),Material,Thivex,Time Period,Batches,Radius,Line Shape,Needle Size,Needle dia (um),AreaA1 (mm2),FlowQ1 (mm3/s),ShearS1 (1/s),ViscosN1 (PaS),Width (um)
240,30,85,DS10,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
246,40,85,DS10,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
252,50,85,DS10,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
258,20,95,DS10,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
264,30,95,DS10,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
270,40,95,DS10,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
276,50,95,DS10,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
282,30,65,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1437.690397
288,40,65,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1228.243748
294,50,65,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,1045.909661
300,20,75,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1993.342706
306,30,75,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1538.282956
312,40,75,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1322.573872
318,50,75,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,1081.844898
324,20,85,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,2515.395339
330,30,85,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1864.247411
336,40,85,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1631.028089
342,50,85,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,1280.494121
348,20,95,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,2910.64432
354,30,95,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,2324.342666
360,40,95,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1934.074815
366,50,95,DS10,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,1576.646995
372,20,65,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1542.014734
378,30,65,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1111.224393
384,40,65,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,956.2706248
390,50,65,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,823.6448991
396,20,75,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1614.371486
402,30,75,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1232.629935
408,40,75,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1100.51044
414,50,75,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,915.6632538
420,20,85,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1932.971643
426,30,85,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1420.600805
432,40,85,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1201.135414
438,50,85,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,1023.521147
444,20,95,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,2101.917787
450,30,95,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1519.150378
456,40,95,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1431.41626
462,50,95,DS10,1%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,1228.168783
468,20,65,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1090.143433
474,30,65,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,906.1155
480,40,65,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
486,50,65,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
492,20,75,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1381.648773
498,30,75,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,977.3657553
504,40,75,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,840.2820974
510,50,75,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
516,20,85,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1517.841643
522,30,85,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1022.57529
528,40,85,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,896.4350576
534,50,85,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,872.1300763
540,20,95,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,1683.285233
546,30,95,DS10,1%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1251.438703
